sleep,200
kaiwa1
sleep,100
enemy1,100,0
enemy1,200,0
sleep,15
enemy1,100,0
enemy1,200,0
sleep,15
enemy1,100,0
enemy1,200,0
sleep,15
enemy1,100,0
enemy1,200,0
sleep,15
enemy1,100,0
enemy1,200,0
sleep,15
enemy1,100,0
enemy1,200,0
sleep,15
enemy1,100,0
enemy1,200,0
sleep,15
enemy1,100,0
enemy1,200,0
sleep,15
enemy1,100,0
enemy1,200,0
sleep,15
enemy1,100,0
enemy1,200,0
sleep,15
enemy1,100,0
enemy1,200,0
sleep,15
enemy1,100,0
enemy1,200,0
sleep,15
enemy1,100,0
enemy1,200,0
sleep,15
enemy1,100,0
enemy1,200,0
sleep,15
enemy1,100,0
enemy1,200,0
sleep,100
sleep,100
enemy1,80,0
enemy1,130,0
enemy1,200,0
enemy1,280,0
enemy1,50,0
enemy1,100,0
enemy1,300,0
enemy1,250,0
sleep,50
enemy1,80,0
enemy1,130,0
enemy1,200,0
enemy1,280,0
enemy1,50,0
enemy1,100,0
enemy1,300,0
enemy1,250,0
sleep,50
enemy1,80,0
enemy1,130,0
enemy1,200,0
enemy1,280,0
enemy1,50,0
enemy1,100,0
enemy1,300,0
enemy1,250,0
sleep,50
enemy1,80,0
enemy1,130,0
enemy1,200,0
enemy1,280,0
enemy1,50,0
enemy1,100,0
enemy1,300,0
enemy1,250,0
sleep,200
enemy2,150,0
enemy2,50,0
enemy2,250,0
sleep,20
enemy2,160,0
enemy2,90,0
enemy2,290,0
sleep,200
enemy2,150,0
enemy2,50,0
enemy2,250,0
sleep,20
enemy2,160,0
enemy2,90,0
enemy2,290,0
sleep,200
enemy2,150,0
enemy2,50,0
enemy2,250,0
sleep,20
enemy2,160,0
enemy2,90,0
enemy2,290,0
sleep,200
enemy2,150,0
enemy2,50,0
enemy2,250,0
sleep,20
enemy2,160,0
enemy2,90,0
enemy2,290,0
sleep,200
enemy2,150,0
enemy2,50,0
enemy2,250,0
sleep,20
enemy2,160,0
enemy2,90,0
enemy2,290,0
sleep,200
midle1,300,0,300
stop
enemy2,150,0
enemy2,50,0
enemy2,250,0
sleep,100
enemy1,50,0
enemy1,100,0
enemy1,300,0
enemy1,250,0
sleep,50
enemy1,50,0
enemy1,100,0
enemy1,300,0
enemy1,250,0
sleep,50
enemy1,50,0
enemy1,100,0
enemy1,300,0
enemy1,250,0
sleep,50
enemy1,50,0
enemy1,100,0
enemy1,300,0
enemy1,250,0
sleep,200
enemy2,150,0
enemy2,50,0
enemy2,250,0
sleep,200
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,200
kaiwa2
boss1,125,0,1500
stop
kaiwa3
fannel,100,50,20
fannel,150,50,20
fannel,200,50,20
fannel,125,100,20
fannel,175,100,20
fannel,225,100,20
stop
kaiwa4
sleep,100
cla1
