sleep,200
kaiwa5
sleep,100
enemy4,0,0
enemy4,300,0
enemy4,50,0
enemy4,250,0
enemy4,200,0
enemy4,100,0
sleep,15
enemy4,0,0
enemy4,300,0
enemy4,50,0
enemy4,250,0
enemy4,200,0
enemy4,100,0
sleep,15
enemy4,0,0
enemy4,300,0
enemy4,50,0
enemy4,250,0
enemy4,200,0
enemy4,100,0
sleep,15
enemy4,0,0
enemy4,300,0
enemy4,50,0
enemy4,250,0
enemy4,200,0
enemy4,100,0
sleep,50
enemy4,0,0
enemy4,300,0
enemy4,50,0
enemy4,250,0
enemy4,200,0
enemy4,100,0
sleep,50
enemy4,0,0
enemy4,300,0
enemy4,50,0
enemy4,250,0
enemy4,200,0
enemy4,100,0
sleep,50
enemy4,0,0
enemy4,300,0
enemy4,50,0
enemy4,250,0
enemy4,200,0
enemy4,100,0
sleep,50
sleep,200
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,200
enemy4,0,0
enemy4,300,0
enemy4,50,0
enemy4,250,0
enemy4,200,0
enemy4,100,0
sleep,15
enemy4,0,0
enemy4,300,0
enemy4,50,0
enemy4,250,0
enemy4,200,0
enemy4,100,0
sleep,15
enemy4,0,0
enemy4,300,0
enemy4,50,0
enemy4,250,0
enemy4,200,0
enemy4,100,0
sleep,15
enemy4,0,0
enemy4,300,0
enemy4,50,0
enemy4,250,0
enemy4,200,0
enemy4,100,0
sleep,50
enemy4,0,0
enemy4,300,0
enemy4,50,0
enemy4,250,0
enemy4,200,0
enemy4,100,0
sleep,50
enemy4,0,0
enemy4,300,0
enemy4,50,0
enemy4,250,0
enemy4,200,0
enemy4,100,0
sleep,50
enemy4,0,0
enemy4,300,0
enemy4,50,0
enemy4,250,0
enemy4,200,0
enemy4,100,0
sleep,100
enemy5,350,200
sleep,25
enemy5,350,200
sleep,25
enemy5,350,200
sleep,25
enemy5,350,200
sleep,25
enemy5,350,200
sleep,25
enemy5,350,200
sleep,100
enemy5,350,200
sleep,25
enemy5,350,200
sleep,15
enemy5,350,200
sleep,25
enemy5,350,200
sleep,25
enemy5,350,200
sleep,25
enemy5,350,200
sleep,25
enemy5,350,200
sleep,25
enemy5,350,200
sleep,5
enemy5,350,200
sleep,25
enemy5,350,200
sleep,5
enemy5,350,200
sleep,25
enemy5,350,200
sleep,5
enemy5,350,250
sleep,50
enemy5,350,250
sleep,50
enemy5,350,250
sleep,50
enemy5,350,250
sleep,50
enemy5,350,300
sleep,50
enemy5,350,300
sleep,25
enemy5,350,100
sleep,25
enemy5,350,100
sleep,25
enemy5,350,100
sleep,5
enemy5,350,100
sleep,25
enemy5,350,100
sleep,25
enemy5,350,100
sleep,25
enemy5,350,100
sleep,200
kaiwa6
midle2,350,0,400
sleep,200
stop
kaiwa7
sleep,200
enemy3,350,100
enemy6,0,100
sleep,100
enemy3,350,100
enemy6,0,100
sleep,100
enemy3,350,100
enemy6,0,100
sleep,100
enemy3,350,100
enemy6,0,100
sleep,100
enemy7,125,0,100
sleep,200
enemy7,100,0,100
enemy7,200,0,100
sleep,250
enemy7,50,0,100
enemy7,250,0,100
sleep,500
kaiwa8
boss2,-50,100,2000
stop
sleep,100
kaiwa9
sleep,100
cla2
